AREA,PERIMETER,Ing_Eg,Rd_Maint,Rd_Width,Rd_Cond,Fire_Acc,St_Sign,Strc_Den,Hm_Set,Un_Lands,Priv_Act,Prox_Wild,SUBD_TOT,Prox_Flam,Veg_Type,Fuel_Load,Fuel_Strc,Def_Space,VEG_TOT,Roof_Asmb,Sid_Sof,Undr_Skrt,Utlty_Plmt,Strc_Ign,BLDG_TOT,Slope,Avg_Rain,Prev_Wind,Seas_Haz,Ign_Risk,Top_Adv,FIREHAZTOT,Wat_Avail,Ofst_Wat,Rspn_Time,Prox_Stn,FD_Trng,Wild_Cap,Loc_Ops,Com_Plan,Com_FirPrg,FIREPROTOT,OVRLHAZTOT,Acres,AreaName,Island,IntAgCoop,CAR_Rating,zone,CAR_Hawaii,CAR_adjtot
152.153,3.714,3,2,3,1,3,2,1,1,2,2,2,22,1,2,2,2,2,9,1,2,3,3,2,11,2,2,3,1,1,3,12,3,0,2,2,2,2,2,1,2,17,0,152.15263968000,Haou,Maui,1,Low,,15.00000000000,
9547.671,19.719,2,3,3,2,3,3,1,1,3,2,3,26,3,2,1,2,2,10,1,2,3,3,2,11,3,4,4,3,3,3,20,3,0,3,3,2,2,2,1,2,18,0,9547.67076717000,Kanaio,Maui,1,Extreme,,40.00000000000,
7072.593,19.772,2,3,3,2,3,3,1,1,3,2,3,26,3,2,2,2,1,10,1,2,3,3,2,11,3,5,4,3,3,3,21,3,0,3,3,2,2,2,1,2,19,0,7072.59313406000,Ahihi-Kinai,Maui,1,High,,40.00000000000,
186.345,8.837,3,3,3,2,2,1,2,0,2,1,3,22,3,2,3,2,2,12,1,2,1,3,1,8,2,6,4,3,3,2,20,1,0,2,3,2,2,2,1,2,15,0,186.34501455400,Ukumehame-Firing Range,Maui,1,Extreme,,40.00000000000,75
152.001,5.978,3,3,3,3,3,1,1,2,3,1,3,26,3,3,3,3,2,14,1,2,1,3,2,9,1,6,4,3,3,1,18,1,0,1,1,2,2,2,1,2,12,0,152.00087576700,Olowalu Makai,Maui,1,Extreme,,40.00000000000,62
774.821,6.151,1,2,1,1,2,1,3,3,2,2,1,19,2,2,2,1,2,9,3,1,1,3,2,10,2,6,4,3,3,3,21,1,0,1,1,2,2,2,1,2,12,0,774.82115156100,Launiupoko Makai,Maui,1,Extreme,,40.00000000000,65
8.403,0.625,3,3,3,2,2,1,2,2,3,2,3,26,3,3,3,3,2,14,1,2,1,3,3,10,1,6,4,3,3,1,18,1,0,1,1,2,2,2,1,2,12,0,8.40312976059,Olowalu Camp,Maui,1,Extreme,,40.00000000000,62
1903.595,11.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903.59478382000,Other,Maui,0,Unranked,,0.00000000000,
179.092,5.338,1,1,2,2,2,2,1,2,3,2,3,21,3,3,3,3,2,14,1,2,1,1,1,6,1,4,3,2,2,1,13,1,0,1,1,2,2,2,1,2,12,0,179.09152619300,Kapalua Makai,Maui,1,Moderate,,22.00000000000,47
784.144,6.873,1,2,1,1,1,1,1,1,1,1,3,14,3,2,2,3,1,12,1,1,1,1,1,5,1,4,3,2,2,1,13,1,0,1,1,2,2,2,1,2,12,0,784.14382894700,Honolua Golf Course,Maui,1,Moderate,,0.00000000000,
